Date,Headline,HyperLinks,Tag,Text
28-Feb-11,Oxford scientists say trumpets in daffodils are 'new organ',http://www.bbc.co.uk/news/uk-england-oxfordshire-12598054,Oxford,
13-Mar-14,Italy: Doorbell 'set off deadly Mafia bomb',http://www.bbc.co.uk/news/blogs-news-from-elsewhere-26560525,News from Elsewhere,
25-Nov-15,Leicester Cathedral rooftop cross blessed by climbing dean,http://www.bbc.co.uk/news/uk-england-leicestershire-34911620,Leicester,
12-Aug-15,Pardalian Rostas jailed for raping woman in Glasgow,http://www.bbc.co.uk/news/uk-scotland-glasgow-west-33883040,Glasgow & West Scotland,
7-Jun-13,Comet Lovejoy flies into Sun to reveal solar secrets,http://www.bbc.co.uk/news/science-environment-22803592,Science & Environment,
11-Jan-18,NBA courts UK as Celtics and 76ers look to bounce back,http://www.bbc.co.uk/news/business-41579180,Business,
23-Apr-11,Italian police arrest 'mafia boss' in Puglia,http://www.bbc.co.uk/news/world-europe-13178555,Europe,
22-Jul-14,Dylan Thomas Prize: Swansea University reveals longlist,http://www.bbc.co.uk/news/uk-wales-south-west-wales-28430744,South West Wales,
28-Jun-09,Building work announced for Abbey,http://news.bbc.co.uk/1/hi/england/london/8123241.stm,London,
4-Feb-11,Crews tackle factory fires in Llanelli and Aberbeeg,http://www.bbc.co.uk/news/uk-wales-12363178,Wales,
10-Feb-15,Solar weather: QUB scientists try to predict explosions,http://www.bbc.co.uk/news/uk-northern-ireland-31317970,Northern Ireland,
21-Apr-15,119mph drink driver jailed after PCSO Alwyn Pritchard died,http://www.bbc.co.uk/news/uk-wales-south-east-wales-32391498,South East Wales,
7-Jan-11,Jets implicated in solar riddle,http://www.bbc.co.uk/news/science-environment-12136190,Science & Environment,
13-Oct-15,Beer giants AB InBev and SABMiller agree takeover terms,http://www.bbc.co.uk/news/business-34513520,Business,
15-Jul-15,Pardalian Rostas guilty of raping woman in Glasgow,http://www.bbc.co.uk/news/uk-scotland-glasgow-west-33540203,Glasgow & West Scotland,
16-Sep-15,Beer giants AB InBev and SABMiller in merger talks,http://www.bbc.co.uk/news/business-34268632,Business,
